Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed,numVotes,numViews,Year
Lightning Fingers,https://www.mountainproject.com/route/120638039/lightning-fingers,2.3,5.9+,1,40.0,40.891,-109.76765,False,False,Utah,Northeast Utah,Flaming Gorge,Windy Ridge,,False,False,False,False,False,False,"Avg: 2.3 from 3
    votes",Page Views: 314 total · 10/month,"Shared By: Paully on May 1, 2021"
Reedmeister,https://www.mountainproject.com/route/120818811/reedmeister,3.0,5.9,1,90.0,40.90656,-109.79332,False,False,Utah,Northeast Utah,Flaming Gorge,Windy Ridge,,False,False,False,False,False,False,"Avg: 3 from 2
    votes",Page Views: 268 total · 9/month,"Shared By: Paully on Jun 3, 2021"
Desolation Row,https://www.mountainproject.com/route/113245779/desolation-row,3.0,5.9,1,50.0,39.6898,-110.00736,False,False,Utah,Northeast Utah,Desolation Canyon,Rock Creek,,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 805 total · 10/month,"Shared By: James Garrett on Jul 2, 2017"
Kentucky Brown Plate,https://www.mountainproject.com/route/120625896/kentucky-brown-plate,2.5,5.10a,1,50.0,38.04004,-109.53368,False,False,Utah,Southeast Utah,Indian Creek,Habitado,,False,False,False,False,False,False,"Avg: 2.7 from 24
    votes",Page Views: 874 total · 29/month,"Shared By: Elijah S on Apr 29, 2021 · Updates"
Ananab,https://www.mountainproject.com/route/113957710/ananab,2.4,5.10a,1,45.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.4 from 77
    votes","Page Views: 2,855 total · 40/month","Shared By: Eric Odenthal on Dec 27, 2017"
Light of the World,https://www.mountainproject.com/route/117566372/light-of-the-world,2.7,5.10a,1,90.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,True,False,False,False,"Avg: 2.6 from 44
    votes","Page Views: 1,900 total · 37/month","Shared By: Orphaned User on Aug 8, 2019"
Mini Skirt,https://www.mountainproject.com/route/108039039/mini-skirt,2.3,5.10a,1,65.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.3 from 78
    votes","Page Views: 5,517 total · 43/month","Shared By: Lynn S on Mar 13, 2013"
Arc Angel,https://www.mountainproject.com/route/110015952/arc-angel,2.4,5.10a,1,,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.4 from 116
    votes","Page Views: 4,971 total · 47/month","Shared By: Josh C on Jan 31, 2015"
Nervous in Suburbia,https://www.mountainproject.com/route/105717502/nervous-in-suburbia,3.1,5.10a,1,50.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 3.1 from 680
    votes","Page Views: 25,450 total · 96/month","Shared By: Charles Vernon on Feb 19, 2002 · Updates"
Banana Peel,https://www.mountainproject.com/route/105891803/banana-peel,2.6,5.10a,1,55.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.6 from 261
    votes","Page Views: 10,406 total · 51/month","Shared By: Rich Kelly on Nov 28, 2006"
Stego Slab,https://www.mountainproject.com/route/107461463/stego-slab,2.1,5.10a,1,35.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.1 from 114
    votes","Page Views: 6,228 total · 44/month","Shared By: Lynn S on Feb 4, 2012"
Steel Your Face,https://www.mountainproject.com/route/105717625/steel-your-face,2.7,5.10a/b,1,,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.7 from 193
    votes","Page Views: 13,485 total · 51/month","Shared By: GRK on Mar 31, 2002"
Pounding the Frog,https://www.mountainproject.com/route/111794502/pounding-the-frog,2.3,5.10b ,1,40.0,38.54668,-109.59959,False,True,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.3 from 14
    votes","Page Views: 1,395 total · 15/month","Shared By: cdec on Apr 20, 2016"
Main Stream,https://www.mountainproject.com/route/123574552/main-stream,1.8,5.10b,1,90.0,38.54668,-109.59959,False,False,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 1.8 from 4
    votes",Page Views: 63 total · 6/month,"Shared By: Eric Odenthal on Dec 19, 2022"
Just Another Pretty Face,https://www.mountainproject.com/route/105717619/just-another-pretty-face,2.6,5.10 ,1,,38.54668,-109.59959,False,True,Utah,Southeast Utah,Potash Road,Wall Street,,False,False,False,False,False,False,"Avg: 2.6 from 30
    votes","Page Views: 5,507 total · 21/month","Shared By: Josh Janes on Mar 22, 2002"
Boognish Tower,https://www.mountainproject.com/route/108214204/boognish-tower,3.5,5.10 ,1,120.0,38.57066,-109.66948,True,False,Utah,Southeast Utah,Potash Road,Day Canyon,Boognish Tower,True,False,False,False,False,False,"Avg: 3.5 from 54
    votes","Page Views: 5,694 total · 45/month","Shared By: paul bucher on Jun 26, 2013"
Two Thumbs Up,https://www.mountainproject.com/route/106470389/two-thumbs-up,1.5,5.10,1,50.0,38.5714,-109.5815,False,False,Utah,Southeast Utah,Potash Road,Mars,,False,False,False,False,False,False,"Avg: 1.5 from 12
    votes","Page Views: 1,413 total · 8/month","Shared By: Josh Gross on Jun 24, 2009"
Juicy Tower,https://www.mountainproject.com/route/118355133/juicy-tower,3.0,5.10 A0 ,1,60.0,38.55646,-109.63139,False,True,Utah,Southeast Utah,Potash Road,Middle Earth,,False,False,False,True,False,False,"Avg: 3 from 2
    votes",Page Views: 656 total · 15/month,"Shared By: Jeff Spicoli on Feb 17, 2020"
"To Boo, or Not to Boo",https://www.mountainproject.com/route/112556981/to-boo-or-not-to-boo,2.9,5.10a,1,75.0,38.66113,-109.4994,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.9 from 112
    votes","Page Views: 2,368 total · 29/month","Shared By: Michael Schneiter on Mar 16, 2017"
All’s Well That Sends Well,https://www.mountainproject.com/route/116967966/alls-well-that-sends-well,2.5,5.10b,1,70.0,38.66113,-109.4994,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.5 from 53
    votes","Page Views: 1,438 total · 26/month","Shared By: Lynn S on May 13, 2019 · Updates"
Industrial Disease,https://www.mountainproject.com/route/124010189/industrial-disease,2.2,5.10b,1,90.0,38.66113,-109.4994,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.3 from 7
    votes",Page Views: 82 total · 12/month,"Shared By: Daniel Campbell on Apr 11, 2023 · Updates"
A Pound Of Choss,https://www.mountainproject.com/route/122081807/a-pound-of-choss,2.8,5.10b/c,1,75.0,38.66113,-109.4994,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.8 from 17
    votes",Page Views: 656 total · 33/month,"Shared By: Lynn S on Mar 15, 2022"
Men in Tights,https://www.mountainproject.com/route/112542533/men-in-tights,3.3,5.10a,1,95.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 3.3 from 171
    votes","Page Views: 6,926 total · 86/month","Shared By: Dylan Ring on Mar 10, 2017 · Updates"
Babel,https://www.mountainproject.com/route/112556966/babel,2.2,5.10,1,80.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.3 from 44
    votes","Page Views: 1,434 total · 18/month","Shared By: Michael Schneiter on Mar 16, 2017"
"Hot Yoga Steve, The Movie",https://www.mountainproject.com/route/113027118/hot-yoga-steve-the-movie,2.3,5.10,1,80.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.3 from 15
    votes","Page Views: 1,548 total · 20/month","Shared By: Michael Schneiter on May 30, 2017 · Updates"
Frito Lay,https://www.mountainproject.com/route/123299930/frito-lay,1.8,5.10a,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1.8 from 6
    votes",Page Views: 122 total · 10/month,"Shared By: David A. Turner on Oct 22, 2022 · Updates"
Frito Bandito,https://www.mountainproject.com/route/124192034/frito-bandito,2.0,5.10a,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 44 total · 8/month,"Shared By: Lyle Dean on May 12, 2023"
Muppets are Puppets Too,https://www.mountainproject.com/route/120002950/muppets-are-puppets-too,1.9,5.10-,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1.9 from 21
    votes",Page Views: 776 total · 22/month,"Shared By: Joe Stern on Nov 29, 2020"
Center Stage,https://www.mountainproject.com/route/124132921/center-stage,2.0,5.10b,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2 from 2
    votes",Page Views: 52 total · 9/month,"Shared By: Zane Wolf on May 2, 2023 · Updates"
Dirty Harry Sends the Gnar,https://www.mountainproject.com/route/120002985/dirty-harry-sends-the-gnar,2.3,5.10b/c,1,75.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.3 from 23
    votes",Page Views: 678 total · 19/month,"Shared By: Joe Stern on Nov 29, 2020"
Castles Made of Sand (Fall in the Sea Eventually),https://www.mountainproject.com/route/124194620/castles-made-of-sand-fall-in-the-sea-eventually,2.5,5.10b,1,60.0,38.66053,-109.4994,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes",Page Views: 55 total · 10/month,"Shared By: Lyle Dean on May 13, 2023"
10 TR,https://www.mountainproject.com/route/107606540/10-tr,2.0,5.10a,1,50.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,True,False,False,False,"Avg: 2 from 34
    votes","Page Views: 2,180 total · 16/month","Shared By: Greg D on May 14, 2012 · Updates"
Nightlight,https://www.mountainproject.com/route/106567193/nightlight,2.7,5.10-,1,90.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,True,False,False,False,False,False,"Avg: 2.7 from 42
    votes","Page Views: 3,590 total · 21/month","Shared By: Eric Odenthal on Oct 11, 2009"
Freezer Burn,https://www.mountainproject.com/route/106279716/freezer-burn,2.8,5.10b,1,90.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,True,False,False,False,False,False,"Avg: 2.8 from 26
    votes","Page Views: 3,676 total · 20/month","Shared By: Eric Odenthal on Oct 16, 2008"
Susie Cream Cheese (aka 5.10tr),https://www.mountainproject.com/route/113807907/susie-cream-cheese-aka-510tr,2.1,5.10b,1,50.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 2.1 from 28
    votes","Page Views: 1,387 total · 19/month","Shared By: Eric Odenthal on Nov 10, 2017"
Sticky Fingers,https://www.mountainproject.com/route/109421340/sticky-fingers,2.7,5.10,1,50.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 2.7 from 89
    votes","Page Views: 3,402 total · 31/month","Shared By: Eric Odenthal on Sep 1, 2014"
Plush,https://www.mountainproject.com/route/111381997/plush,3.0,5.10,1,70.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 3 from 31
    votes","Page Views: 2,537 total · 26/month","Shared By: Eric Odenthal on Dec 4, 2015"
Phurba:  fun in the sun route,https://www.mountainproject.com/route/108381699/phurba-fun-in-the-sun-route,1.7,5.10 ,1,75.0,38.52014,-109.60264,True,False,Utah,Southeast Utah,Kane Springs Canyon,Kane Springs Campground,,True,False,False,False,False,False,"Avg: 1.7 from 9
    votes","Page Views: 1,313 total · 11/month","Shared By: paul bucher on Oct 12, 2013"
Eleven,https://www.mountainproject.com/route/111710966/eleven,2.5,5.10,1,70.0,38.50401,-109.60104,False,False,Utah,Southeast Utah,Kane Springs Canyon,Camalot Wall,,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes",Page Views: 832 total · 9/month,"Shared By: Joe Stern on Mar 20, 2016"
Pigasus,https://www.mountainproject.com/route/112836712/pigasus,2.0,5.10 ,1,100.0,38.65324,-109.7204,False,True,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 608 total · 8/month,"Shared By: Aaron Glasenapp on Apr 18, 2017"
Sweet Jane,https://www.mountainproject.com/route/108752805/sweet-jane,3.0,5.10 ,1,75.0,38.564,-109.54235,True,False,Utah,Southeast Utah,State Highway 313,Unsorted,,True,False,False,False,False,False,"Avg: 3 from 2
    votes","Page Views: 1,315 total · 11/month","Shared By: paul bucher on Mar 17, 2014"
Sport/Mixed Climbing Near 313 Turnoff,https://www.mountainproject.com/route/107503071/sportmixed-climbing-near-313-turnoff,2.0,5.10,1,,38.564,-109.54235,False,False,Utah,Southeast Utah,State Highway 313,Unsorted,,True,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 844 total · 6/month,"Shared By: J Hickok on Mar 8, 2012"
Mother Hen,https://www.mountainproject.com/route/106280366/mother-hen,2.2,5.10a,1,60.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 2.2 from 28
    votes","Page Views: 3,635 total · 20/month","Shared By: Alec L on Oct 17, 2008"
The Birthday Route,https://www.mountainproject.com/route/123327180/the-birthday-route,2.4,5.10a,1,60.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 2.4 from 10
    votes",Page Views: 138 total · 11/month,"Shared By: Marcus St Jolie on Oct 26, 2022"
Magic Carpet Ride,https://www.mountainproject.com/route/106049215/magic-carpet-ride,2.9,5.10a,1,50.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 3 from 85
    votes","Page Views: 9,369 total · 48/month","Shared By: Aimee McRae on Oct 23, 2007"
Black Hearted Woman,https://www.mountainproject.com/route/106280369/black-hearted-woman,2.7,5.10,1,60.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 2.7 from 70
    votes","Page Views: 5,267 total · 29/month","Shared By: Aimee McRae on Oct 17, 2008 · Updates"
Evenflow,https://www.mountainproject.com/route/111958968/evenflow,3.3,5.10a,1,115.0,38.49515,-109.31586,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Confluence,False,False,False,False,False,False,"Avg: 3.3 from 9
    votes","Page Views: 1,843 total · 21/month","Shared By: Eric Odenthal on Jun 27, 2016"
Strainer,https://www.mountainproject.com/route/111958999/strainer,3.6,5.10b/c,1,115.0,38.49515,-109.31586,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Confluence,False,False,False,False,False,False,"Avg: 3.6 from 9
    votes","Page Views: 1,297 total · 15/month","Shared By: Eric Odenthal on Jun 27, 2016"
High Gravity,https://www.mountainproject.com/route/107928086/high-gravity,2.0,5.10a,1,110.0,38.5632,-109.542,False,False,Utah,Southeast Utah,La Sal Mountains,North Fork,Gauntlet Wall,False,False,False,False,False,False,"Avg: 2 from 2
    votes","Page Views: 1,021 total · 8/month","Shared By: Wayne Harney on Dec 11, 2012"
Czechoslovakian Vagina,https://www.mountainproject.com/route/110794477/czechoslovakian-vagina,1.6,5.10b/c,1,,38.47194,-109.28111,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Good Times Wall,False,False,False,False,False,False,"Avg: 1.6 from 19
    votes","Page Views: 1,101 total · 11/month","Shared By: Woobly Climber on Jul 24, 2015"
Pap Smear,https://www.mountainproject.com/route/110794508/pap-smear,3.0,5.10b,1,,38.47221,-109.28228,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Exam Wall,False,False,False,False,False,False,"Avg: 2.3 from 4
    votes",Page Views: 779 total · 8/month,"Shared By: Woobly Climber on Jul 24, 2015"
Lichen the Exam,https://www.mountainproject.com/route/110794519/lichen-the-exam,2.7,5.10,1,,38.47221,-109.28228,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Exam Wall,False,False,False,False,False,False,"Avg: 2.7 from 15
    votes",Page Views: 773 total · 8/month,"Shared By: Woobly Climber on Jul 24, 2015"
Mighty Re-arranger,https://www.mountainproject.com/route/110794713/mighty-re-arranger,4.0,5.10b/c,1,,38.4716,-109.27892,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,arranger,False,False,False,False,False,False,"Avg: 4 from 3
    votes",Page Views: 884 total · 9/month,"Shared By: Woobly Climber on Jul 24, 2015"
Dope,https://www.mountainproject.com/route/110794729/dope,2.7,5.10a,1,,38.47144,-109.27882,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Ganja Wall,False,False,False,False,False,False,"Avg: 2.7 from 26
    votes","Page Views: 1,885 total · 19/month","Shared By: Woobly Climber on Jul 24, 2015"
Spliff,https://www.mountainproject.com/route/122703609/spliff,3.2,5.10a,1,,38.47144,-109.27882,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Ganja Wall,False,False,False,False,False,False,"Avg: 3.2 from 6
    votes",Page Views: 252 total · 16/month,"Shared By: herb crimp on Jul 8, 2022"
Time Cop,https://www.mountainproject.com/route/114524519/time-cop,3.0,5.10,1,60.0,38.47235,-109.28208,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Times Up,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 661 total · 10/month,"Shared By: Mike Robinson on Jun 26, 2018"
Time Will Tell,https://www.mountainproject.com/route/110794201/time-will-tell,2.9,5.10a,1,80.0,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 2.9 from 23
    votes","Page Views: 1,336 total · 13/month","Shared By: Woobly Climber on Jul 24, 2015"
Sweet Thing,https://www.mountainproject.com/route/110794003/sweet-thing,2.8,5.10b,1,90.0,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 2.8 from 13
    votes","Page Views: 1,353 total · 13/month","Shared By: Woobly Climber on Jul 24, 2015"
Screwface,https://www.mountainproject.com/route/110794012/screwface,3.0,5.10b,1,105.0,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 3 from 18
    votes","Page Views: 2,498 total · 25/month","Shared By: Woobly Climber on Jul 24, 2015"
"Get Up, Stand Up",https://www.mountainproject.com/route/110794195/get-up-stand-up,2.9,5.10,1,80.0,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 2.9 from 12
    votes","Page Views: 1,088 total · 11/month","Shared By: Woobly Climber on Jul 24, 2015"
Unnamed,https://www.mountainproject.com/route/124485087/unnamed,2.0,5.10,1,80.0,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 60 total · 15/month,"Shared By: Mike Blackwill on Jun 27, 2023"
10 to 8,https://www.mountainproject.com/route/110794297/10-to-8,2.0,5.10,1,,38.47107,-109.2772,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown North,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 552 total · 5/month,"Shared By: Woobly Climber on Jul 24, 2015"
Jungle Corner,https://www.mountainproject.com/route/110794302/jungle-corner,1.0,5.10,1,,38.47107,-109.2772,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown North,False,False,False,False,False,False,"Avg: 1 from 1
    vote",Page Views: 538 total · 5/month,"Shared By: Woobly Climber on Jul 24, 2015"
Fuggin Fun,https://www.mountainproject.com/route/110794307/fuggin-fun,3.0,5.10,1,,38.47107,-109.2772,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown North,False,False,False,False,False,False,"Avg: 3 from 2
    votes",Page Views: 724 total · 7/month,"Shared By: Woobly Climber on Jul 24, 2015"
Grimmis,https://www.mountainproject.com/route/110794417/grimmis,2.0,5.10,1,,38.47107,-109.2772,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown North,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 573 total · 6/month,"Shared By: Woobly Climber on Jul 24, 2015"
More Beers than Bolts,https://www.mountainproject.com/route/119769647/more-beers-than-bolts,2.5,5.10b/c,1,30.0,38.60635,-110.0332,False,False,Utah,Southeast Utah,Labyrinth Canyon,Bowknot Bend,Bowknot Bend Saddle,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes",Page Views: 540 total · 15/month,"Shared By: Anus Herder on Oct 18, 2020 · Updates"
Drop Zone,https://www.mountainproject.com/route/107744446/drop-zone,2.4,5.10a,1,50.0,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 2.4 from 219
    votes","Page Views: 3,152 total · 23/month","Shared By: Kory Kowallis on Aug 11, 2012 · Updates"
Caress of Steel,https://www.mountainproject.com/route/105739949/caress-of-steel,2.9,5.10a,1,,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 2.9 from 368
    votes","Page Views: 9,728 total · 39/month","Shared By: Richard M. Wright on Jul 23, 2003"
Bad Faith,https://www.mountainproject.com/route/105741290/bad-faith,1.5,5.10a,1,60.0,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 1.5 from 153
    votes","Page Views: 4,134 total · 18/month","Shared By: Spencer Anderson on Oct 14, 2004 · Updates"
[Redacted],https://www.mountainproject.com/route/105844347/redacted,2.3,5.10a,1,40.0,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 2.3 from 194
    votes","Page Views: 2,416 total · 11/month","Shared By: Granger on Jul 24, 2006"
Insane in The Membrane,https://www.mountainproject.com/route/112231365/insane-in-the-membrane,2.5,5.10b,1,45.0,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 2.5 from 68
    votes","Page Views: 1,831 total · 21/month","Shared By: Darren Knezek on Oct 14, 2016 · Updates"
Kitchen Sink,https://www.mountainproject.com/route/107309178/kitchen-sink,1.9,5.10b,1,35.0,40.44666,-111.68668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Membrane,False,False,False,False,False,False,"Avg: 1.9 from 76
    votes","Page Views: 2,242 total · 15/month","Shared By: Perin Blanchard on Oct 1, 2011"
Black Hole,https://www.mountainproject.com/route/105741698/black-hole,1.9,5.10a,1,60.0,40.4503,-111.668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Division Wall,False,False,False,False,False,False,"Avg: 1.9 from 324
    votes","Page Views: 4,146 total · 19/month","Shared By: Ken Cangi on Jul 19, 2005 · Updates"
Les is More,https://www.mountainproject.com/route/105971842/les-is-more,2.5,5.10a,1,60.0,40.4503,-111.668,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Division Wall,False,False,False,False,False,False,"Avg: 2.5 from 277
    votes","Page Views: 4,228 total · 21/month","Shared By: Perin Blanchard on Jun 3, 2007"
Twist and Shout,https://www.mountainproject.com/route/105741323/twist-and-shout,2.7,5.10a,1,50.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 2.7 from 185
    votes","Page Views: 1,601 total · 7/month","Shared By: Spencer Anderson on Nov 4, 2004"
No Escaping Death,https://www.mountainproject.com/route/105741962/no-escaping-death,1.7,5.10a,1,80.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 1.7 from 39
    votes",Page Views: 885 total · 4/month,"Shared By: Anonymous Coward on Dec 31, 2004"
Middle Class Socialist Brat,https://www.mountainproject.com/route/107648212/middle-class-socialist-brat,2.7,5.10-,1,90.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 2.7 from 144
    votes","Page Views: 3,024 total · 22/month","Shared By: Perin Blanchard on Jun 9, 2012"
Jug for Joy,https://www.mountainproject.com/route/105741083/jug-for-joy,2.5,5.10b,1,80.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 2.5 from 128
    votes","Page Views: 1,112 total · 5/month","Shared By: richard magill on Aug 13, 2004"
Awakening,https://www.mountainproject.com/route/105741335/awakening,2.0,5.10b,1,80.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 2.1 from 85
    votes",Page Views: 962 total · 4/month,"Shared By: Spencer Anderson on Nov 17, 2004"
Presidents Day,https://www.mountainproject.com/route/106061625/presidents-day,2.7,5.10b,1,70.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 2.7 from 65
    votes",Page Views: 983 total · 5/month,"Shared By: Perin Blanchard on Nov 13, 2007"
Denied,https://www.mountainproject.com/route/105999582/denied,1.8,5.10b/c,1,60.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 1.8 from 61
    votes",Page Views: 762 total · 4/month,"Shared By: Perin Blanchard on Jul 27, 2007"
Motherload,https://www.mountainproject.com/route/106009113/motherload,1.7,5.10b/c,1,35.0,40.4511,-111.6701,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Escape Buttress,False,False,False,False,False,False,"Avg: 1.7 from 73
    votes","Page Views: 1,611 total · 8/month","Shared By: Perin Blanchard on Aug 15, 2007"
Platinum Blonde,https://www.mountainproject.com/route/105742064/platinum-blonde,3.0,5.10a,1,100.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 3 from 374
    votes","Page Views: 11,194 total · 51/month","Shared By: John Bradford on Sep 16, 2005"
